ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2023 13:00:00, ON, Stop1, Company1, Bus37, 5500005555555559
2, 22-01-2023 13:05:00, OFF, Stop2, Company1, Bus37, 5500005555555559
3, 22-01-2023 09:20:00, ON, Stop3, Company1, Bus36, 4111111111111111
4, 23-01-2023 08:00:00, ON, Stop1, Company1, Bus37, 4111111111111111
5, 23-01-2023 08:02:00, OFF, Stop1, Company1, Bus37, 4111111111111111
6, 24-01-2023 16:30:00, OFF, Stop2, Company1, Bus37, 5500005555555559
7, 24-01-2023 16:31:00, ON, Stop2, Company2, Bus37, 630495060000000000
8, 24-01-2023 16:32:00, OFF, Stop2, Company3, Bus37, 630495060000000000
9, 24-01-2023 16:33:00, ON, Stop1, Company1, Bus37, 630495060000000000
10, 24-01-2023 16:34:00, OFF, Stop2, Company1, Bus38, 630495060000000000
